rule_index,source,destination_raw,destination_decoded,status_code,permanent,query_behavior,contains_non_ascii,contains_percent_encoding,double_encoded,external,source_file
86,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B2%E0%B8%A1,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
87,/รับซื้อ/รับซื้อ-hdd-มุกดาหาร,/รับซื้อ/รับซื้อ-ssd-มุกดาหาร,/รับซื้อ/รับซื้อ-ssd-มุกดาหาร,308,true,none,yes,no,no,no,vercel.json
88,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,/รับซื้อ/รับซื้อ-ssd-มุกดาหาร,/รับซื้อ/รับซื้อ-ssd-มุกดาหาร,308,true,none,yes,no,no,no,vercel.json
89,/รับซื้อ/รับซื้อ-gopro-มุกดาหาร,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
90,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
91,/รับซื้อ/รับซื้อเลนส์-มุกดาหาร,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
92,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,308,true,none,yes,no,no,no,vercel.json
93,/รับซื้อ/รับซื้อ-storage-nas-มุกดาหาร,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
94,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%A1%E0%B8%B8%E0%B8%81%E0%B8%94%E0%B8%B2%E0%B8%AB%E0%B8%B2%E0%B8%A3,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,308,true,none,yes,no,no,no,vercel.json
95,/รับซื้อ/รับซื้อ-hdd-ยโสธร,/รับซื้อ/รับซื้อ-ssd-ยโสธร,/รับซื้อ/รับซื้อ-ssd-ยโสธร,308,true,none,yes,no,no,no,vercel.json
96,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3,/รับซื้อ/รับซื้อ-ssd-ยโสธร,/รับซื้อ/รับซื้อ-ssd-ยโสธร,308,true,none,yes,no,no,no,vercel.json
97,/รับซื้อ/รับซื้อ-gopro-ยโสธร,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
98,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%A2%E0%B9%82%E0%B8%AA%E0%B8%98%E0%B8%A3,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,308,true,none,yes,no,no,no,vercel.json
