url,page_type,group_id,service_slug,province,visible_main_text_words,h1,indexable,sitemap,inbound_links,trust_issue,in_audit,in_batch11
"/รับซื้อ/รับซื้อของสะสม-อุบลราชธานี","service-x-location","G-SA-รับซื้อของสะสม","รับซื้อของสะสม","อุบลราชธานี","219","รับซื้อ ของสะสมและเครื่องดนตรี อุบลราชธานี ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-กาฬสินธุ์","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","กาฬสินธุ์","237","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง กาฬสินธุ์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ขอนแก่น","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","ขอนแก่น","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ขอนแก่น ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-ชัยภูมิ","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","ชัยภูมิ","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง ชัยภูมิ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครพนม","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","นครพนม","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง นครพนม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-นครราชสีมา","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","นครราชสีมา","237","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง นครราชสีมา ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บึงกาฬ","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","บึงกาฬ","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง บึงกาฬ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-บุรีรัมย์","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","บุรีรัมย์","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง บุรีรัมย์ ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มหาสารคาม","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","มหาสารคาม","231","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง มหาสารคาม ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
"/รับซื้อ/รับซื้อเครื่องใช้ไฟฟ้า-มุกดาหาร","service-x-location","G-SA-รับซื้อเครื่องใช้ไฟฟ้า","รับซื้อเครื่องใช้ไฟฟ้า","มุกดาหาร","234","รับซื้อ เครื่องใช้ไฟฟ้ามือสอง มุกดาหาร ประเมินราคาฟรี นัดรับหรือประสานขนส่งตามข้อตกลง","yes","yes","2","no","yes","yes"
