rule_id,source,source_variant,existing_destination,resolved_final_target,www_destination,host,status_code_phase_a,status_code_phase_b,preserve_query,rule_order,generated_from,included,exclusion_reason
WWW-R0177,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-hdd-%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,encoded,/รับซื้อ/รับซื้อ-ssd-อุบลราชธานี,/รับซื้อ/รับซื้อ-ssd-อุบลราชธานี,https://amphon.co.th/รับซื้อ/รับซื้อ-ssd-อุบลราชธานี,www.amphon.co.th,307,308,true,177,R0177,yes,
WWW-R0178,/รับซื้อ/รับซื้อ-gopro-อุบลราชธานี,unicode,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,178,R0178,yes,
WWW-R0179,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-gopro-%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,encoded,/บริการ/รับซื้อ-gopro-action-camera,/บริการ/รับซื้อ-gopro-action-camera,https://amphon.co.th/บริการ/รับซื้อ-gopro-action-camera,www.amphon.co.th,307,308,true,179,R0179,yes,
WWW-R0180,/รับซื้อ/รับซื้อเลนส์-อุบลราชธานี,unicode,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,180,R0180,yes,
WWW-R0181,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,encoded,/บริการ/รับซื้อเลนส์กล้อง,/บริการ/รับซื้อเลนส์กล้อง,https://amphon.co.th/บริการ/รับซื้อเลนส์กล้อง,www.amphon.co.th,307,308,true,181,R0181,yes,
WWW-R0182,/รับซื้อ/รับซื้อ-storage-nas-อุบลราชธานี,unicode,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,https://amphon.co.th/บริการ/รับซื้อ-nas,www.amphon.co.th,307,308,true,182,R0182,yes,
WWW-R0183,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD-storage-nas-%E0%B8%AD%E0%B8%B8%E0%B8%9A%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%98%E0%B8%B2%E0%B8%99%E0%B8%B5,encoded,/บริการ/รับซื้อ-nas,/บริการ/รับซื้อ-nas,https://amphon.co.th/บริการ/รับซื้อ-nas,www.amphon.co.th,307,308,true,183,R0183,yes,
WWW-R0184,/รับซื้อ/รับซื้อของสะสม-กาฬสินธุ์,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,184,R0184,yes,
WWW-R0185,/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%B0%E0%B8%AA%E0%B8%A1-%E0%B8%81%E0%B8%B2%E0%B8%AC%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C,encoded,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,185,R0185,yes,
WWW-R0186,/รับซื้อ/รับซื้อของสะสม-ขอนแก่น,unicode,/บริการ/รับซื้อของสะสม,/บริการ/รับซื้อของสะสม,https://amphon.co.th/บริการ/รับซื้อของสะสม,www.amphon.co.th,307,308,true,186,R0186,yes,
