source_url,source_file,text_before,text_after,link_destination,anchor,semantic_change,reason,status
"/รับซื้อ/รับซื้อ-airpods-บึงกาฬ","","(no link)","รับซื้อ โน๊ตบุ๊ค ในบึงกาฬ","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-บึงกาฬ","รับซื้อ โน๊ตบุ๊ค ในบึงกาฬ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บึงกาฬ","","(no link)","รับซื้อ MacBook ในบึงกาฬ","/รับซื้อ/รับซื้อ-macbook-บึงกาฬ","รับซื้อ MacBook ในบึงกาฬ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บึงกาฬ","","(no link)","รับซื้อ คอมพิวเตอร์ ในบึงกาฬ","/รับซื้อ/รับซื้อคอมพิวเตอร์-บึงกาฬ","รับซื้อ คอมพิวเตอร์ ในบึงกาฬ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บึงกาฬ","","(no link)","รับซื้อ iPhone ในบึงกาฬ","/รับซื้อ/รับซื้อ-iphone-บึงกาฬ","รับซื้อ iPhone ในบึงกาฬ","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บุรีรัมย์","","(no link)","รับซื้อ โน๊ตบุ๊ค ในบุรีรัมย์","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-บุรีรัมย์","รับซื้อ โน๊ตบุ๊ค ในบุรีรัมย์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บุรีรัมย์","","(no link)","รับซื้อ MacBook ในบุรีรัมย์","/รับซื้อ/รับซื้อ-macbook-บุรีรัมย์","รับซื้อ MacBook ในบุรีรัมย์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บุรีรัมย์","","(no link)","รับซื้อ คอมพิวเตอร์ ในบุรีรัมย์","/รับซื้อ/รับซื้อคอมพิวเตอร์-บุรีรัมย์","รับซื้อ คอมพิวเตอร์ ในบุรีรัมย์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-บุรีรัมย์","","(no link)","รับซื้อ iPhone ในบุรีรัมย์","/รับซื้อ/รับซื้อ-iphone-บุรีรัมย์","รับซื้อ iPhone ในบุรีรัมย์","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มหาสารคาม","","(no link)","รับซื้อ โน๊ตบุ๊ค ในมหาสารคาม","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-มหาสารคาม","รับซื้อ โน๊ตบุ๊ค ในมหาสารคาม","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มหาสารคาม","","(no link)","รับซื้อ MacBook ในมหาสารคาม","/รับซื้อ/รับซื้อ-macbook-มหาสารคาม","รับซื้อ MacBook ในมหาสารคาม","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
"/รับซื้อ/รับซื้อ-airpods-มหาสารคาม","","(no link)","รับซื้อ คอมพิวเตอร์ ในมหาสารคาม","/รับซื้อ/รับซื้อคอมพิวเตอร์-มหาสารคาม","รับซื้อ คอมพิวเตอร์ ในมหาสารคาม","added_sidebar_link_only","Batch 11 selective hub-spoke strengthening","ADDED"
