url,source_file,page_type,indexable,canonical,sitemap,inbound_links,unique_inbound_sources,outbound_links,unique_outbound_targets,click_depth,breadcrumb_links,navigation_links,footer_links,contextual_links,related_content_links,thin_content_flag,cannibalization_cluster,priority_class,status
"/blog/ขายกล้อง-sony-มือสอง-ต้องเช็กอะไรบ้าง","","blog-article","yes","https://amphon.co.th/blog/ขายกล้อง-sony-มือสอง-ต้องเช็กอะไรบ้าง","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา","","blog-article","yes","https://amphon.co.th/blog/ขายของไอทีเสียยังไงให้ไม่ถูกกดราคา","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง","","blog-article","yes","https://amphon.co.th/blog/ขายสินค้าไอทีอย่างไรให้ปลอดภัย-ไม่โดนโกง","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ขายโทรศัพท์มือสองใกล้ฉัน","","blog-article","yes","https://amphon.co.th/blog/ขายโทรศัพท์มือสองใกล้ฉัน","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ขายโน๊ตบุ๊คเก่าให้ได้ราคาดี-ต้องเช็กอะไรบ้าง","","blog-article","yes","https://amphon.co.th/blog/ขายโน๊ตบุ๊คเก่าให้ได้ราคาดี-ต้องเช็กอะไรบ้าง","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ควรขายของไอทีตอนไหน-ให้ได้ราคาดีที่สุด","","blog-article","yes","https://amphon.co.th/blog/ควรขายของไอทีตอนไหน-ให้ได้ราคาดีที่สุด","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/คอมบริษัทเก่า-ขายยังไง","","blog-article","yes","https://amphon.co.th/blog/คอมบริษัทเก่า-ขายยังไง","yes","1","1","","","","yes","global","global","","","yes","","DEFER_TO_F04","DEFER_TO_F04"
"/blog/คอมบริษัทเก่า-ขายแบบไหนให้เคลียร์ง่าย","","blog-article","yes","https://amphon.co.th/blog/คอมบริษัทเก่า-ขายแบบไหนให้เคลียร์ง่าย","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/คอมเกมมิ่งมือสอง-ขายอย่างไรให้ได้ราคาดี","","blog-article","yes","https://amphon.co.th/blog/คอมเกมมิ่งมือสอง-ขายอย่างไรให้ได้ราคาดี","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/จอคอมมีเส้น-จุดดำ-ภาพกระพริบ-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/จอคอมมีเส้น-จุดดำ-ภาพกระพริบ-ขายได้ไหม","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร","","blog-article","yes","https://amphon.co.th/blog/จำนำโทรศัพท์กับขายขาดต่างกันอย่างไร","yes","2","2","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ถ่ายรูปสินค้าไอทีให้ร้านประเมินราคาเร็ว","","blog-article","yes","https://amphon.co.th/blog/ถ่ายรูปสินค้าไอทีให้ร้านประเมินราคาเร็ว","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","","blog-article","yes","https://amphon.co.th/blog/รับซื้อสินค้าไอทีถึงที่-ปลอดภัยไหม","yes","1","1","","","","yes","global","global","","","yes","","DEFER_TO_F04","DEFER_TO_F04"
"/blog/ราคา-ipad-มือสอง-2026","","blog-article","yes","https://amphon.co.th/blog/ราคา-ipad-มือสอง-2026","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ราคา-iphone-มือสอง-2026","","blog-article","yes","https://amphon.co.th/blog/ราคา-iphone-มือสอง-2026","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ราคา-macbook-มือสอง-2026","","blog-article","yes","https://amphon.co.th/blog/ราคา-macbook-มือสอง-2026","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ร้านรับซื้อไอที-เช็กอะไรบ้างก่อนตีราคา","","blog-article","yes","https://amphon.co.th/blog/ร้านรับซื้อไอที-เช็กอะไรบ้างก่อนตีราคา","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ลบข้อมูลก่อนขาย-ทำยังไงให้กู้ไม่ได้","","blog-article","yes","https://amphon.co.th/blog/ลบข้อมูลก่อนขาย-ทำยังไงให้กู้ไม่ได้","yes","1","1","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/ลำโพง-jbl-ของแท้ของปลอม-เช็กก่อนขาย","","blog-article","yes","https://amphon.co.th/blog/ลำโพง-jbl-ของแท้ของปลอม-เช็กก่อนขาย","yes","2","2","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย","","blog-article","yes","https://amphon.co.th/blog/วิธีล้างเครื่อง-macbook-ก่อนขาย","yes","2","2","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/วิธีเช็ก-battery-health-iphone-ก่อนขาย","","blog-article","yes","https://amphon.co.th/blog/วิธีเช็ก-battery-health-iphone-ก่อนขาย","yes","6","6","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง","","blog-article","yes","https://amphon.co.th/blog/วิธีเช็กราคาก่อนขายโน๊ตบุ๊คมือสอง","yes","2","2","","","","yes","global","global","","","yes","","DEFER_TO_F04","DEFER_TO_F04"
"/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน","","blog-article","yes","https://amphon.co.th/blog/วิธีเช็กรุ่น-ipad-ว่าเป็น-gen-ไหน","yes","8","8","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/วิธีเช็กสเปกคอมก่อนขาย","","blog-article","yes","https://amphon.co.th/blog/วิธีเช็กสเปกคอมก่อนขาย","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที","","blog-article","yes","https://amphon.co.th/blog/วิธีเตรียมเครื่องก่อนขายสินค้าไอที","yes","3","3","","","","yes","global","global","","","yes","","DEFER_TO_F04","DEFER_TO_F04"
"/blog/เลนส์มีฝ้า-รา-ฝุ่น-โฟกัสเสีย-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/เลนส์มีฝ้า-รา-ฝุ่น-โฟกัสเสีย-ขายได้ไหม","yes","2","2","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/แรมมือสองขายได้เท่าไหร่","","blog-article","yes","https://amphon.co.th/blog/แรมมือสองขายได้เท่าไหร่","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/โน๊ตบุ๊คเปิดไม่ติด-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/โน๊ตบุ๊คเปิดไม่ติด-ขายได้ไหม","yes","3","3","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม","","blog-article","yes","https://amphon.co.th/blog/โน๊ตบุ๊คเสีย-ขายได้ไหม","yes","2","2","","","","yes","global","global","","","yes","","DEFER_TO_F04","DEFER_TO_F04"
"/contact","","contact-about","yes","https://amphon.co.th/contact","yes","1186","1186","","","","yes","global","global","","","yes","","P1","STRENGTHEN_SELECTIVE"
"/","","homepage","yes","https://amphon.co.th/","yes","1186","1186","","","","yes","global","global","","","no","","P1","STRENGTHEN_SELECTIVE"
"/privacy-policy","","legal","yes","https://amphon.co.th/privacy-policy","yes","1186","1186","","","","yes","global","global","","","yes","","KEEP_AS_IS","KEEP_AS_IS"
"/บริการ/รับซื้อ-acer-aspire","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-acer-aspire","yes","22","22","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-acer-nitro","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-acer-nitro","yes","27","27","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-acer-predator","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-acer-predator","yes","4","4","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-airpods","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-airpods","yes","35","35","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-apple","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-apple","yes","1186","1186","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-apple-pencil","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-apple-pencil","yes","10","10","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-apple-watch","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-apple-watch","yes","26","26","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-asus-expertbook","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-asus-expertbook","yes","5","5","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-asus-tuf-gaming","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-asus-tuf-gaming","yes","27","27","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
"/บริการ/รับซื้อ-asus-vivobook","","service-page","yes","https://amphon.co.th/บริการ/รับซื้อ-asus-vivobook","yes","22","22","","","","yes","global","global","","","no","","P2","STRENGTHEN_SELECTIVE"
