target_url,reference_type,source_file,source_url,anchor_text,production_visible,points_to_404,expected_action
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-ศรีสะเกษ.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-สกลนคร.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-สุรินทร์.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-หนองคาย.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-หนองบัวลำภู.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-อำนาจเจริญ.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-อุดรธานี.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-อุบลราชธานี.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/serviceAreas/รับซื้อ-gopro-เลย.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/services/รับซื้อกล้อง.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/services/รับซื้อสินค้าไอที.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,content_mention,src/content/services/รับซื้อโดรน.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,source_mention,src/layouts/ServiceLayout.astro,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,seo_policy,src/config/seo-policy.ts,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อ-gopro,redirect_config,vercel.json,,,config,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/blog/ขายกล้อง-sony-มือสอง-ต้องเช็กอะไรบ้าง.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/blog/เลนส์มีฝ้า-รา-ฝุ่น-โฟกัสเสีย-ขายได้ไหม.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-กาฬสินธุ์.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-ขอนแก่น.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-ชัยภูมิ.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-นครพนม.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-นครราชสีมา.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-บึงกาฬ.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-บุรีรัมย์.md,,,maybe,no,ok_after_encoding_fix
https://amphon.co.th/บริการ/รับซื้อเลนส์,content_mention,src/content/serviceAreas/รับซื้อเลนส์-มหาสารคาม.md,,,maybe,no,ok_after_encoding_fix
